"コード","銘柄名","市場","現在値","前日比(%)","PSR(株価売上高倍率)(倍)","PBR(株価純資産倍率)(倍)","時価総額(百万円)","売上高変化率(%)","自己資本比率(%)","株価移動平均線乖離率(%)"
"1418","インターライフＨＬＤＧ","東S","214","+0.0(+0.00%)","0.29","1.01","4,282","-2.83","44.94","-0.28"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","952","+21.0(+2.26%)","0.57","1.16","6,601","6.97","33.44","-0.71"
"1439","安江工務店","東S","1332","-43.0(-3.13%)","0.25","0.96","1,800","5.01","40.17","-1.22"
"1738","ＮＩＴＴＯＨ","名M","580","-10.0(-1.69%)","0.25","0.57","2,355","4.01","59.96","-1.73"
"1758","太洋基礎工業","東S","2004","+12.0(+0.60%)","0.29","0.49","4,927","13.73","70.81","-0.07"
"1789","ＥＴＳ　ＨＬＤＧ","東S","539","-4.0(-0.74%)","0.43","1.27","3,436","20.72","40.50","-0.48"
"1795","マサル","東S","3480","-15.0(-0.43%)","0.36","0.65","3,136","24.08","63.05","-0.43"
"1844","大盛工業","東S","192","+0.0(+0.00%)","0.56","0.65","3,441","15.43","44.40","-0.52"
"2055","日和産業","東S","309","-6.0(-1.90%)","0.10","0.32","6,437","21.72","58.69","-0.06"
"2139","中広","東S","412","+1.0(+0.24%)","0.33","1.54","2,902","20.63","39.83","-0.15"
"2156","セーラー広告","東S","304","+1.0(+0.33%)","0.54","0.61","1,848","8.68","44.41","-0.98"
"2196","エスクリ","東S","274","-5.0(-1.79%)","0.16","1.29","3,778","8.48","25.53","-3.18"
"2215","第一屋製パン","東S","762","+12.0(+1.60%)","0.21","0.90","5,281","2.20","34.21","-1.37"
"2300","きょくとう","東S","542","+0.0(+0.00%)","0.61","1.61","3,009","2.36","47.07","-0.26"
"2332","クエスト","東S","1219","-4.0(-0.33%)","0.46","1.04","6,690","20.28","69.29","-0.46"
"2376","サイネックス","東S","828","-9.0(-1.08%)","0.33","0.62","5,358","0.86","52.04","-1.31"
"2411","ゲンダイエージェンシー","東S","366","+0.0(+0.00%)","0.62","1.07","4,502","1.60","72.47","-0.22"
"2424","ブラス","東S","689","-15.0(-2.13%)","0.29","1.03","3,934","16.16","32.57","-2.93"
"2425","ケアサービス","東S","809","+5.0(+0.62%)","0.33","1.33","3,398","3.03","65.97","-0.57"
"2449","プラップジャパン","東S","1017","+9.0(+0.89%)","0.67","0.89","4,759","5.76","73.25","-0.45"
"2454","オールアバウト","東S","408","+0.0(+0.00%)","0.33","1.24","5,754","9.89","55.42","-0.73"
"2464","Ａｏｂａ−ＢＢＴ","東S","399","-7.0(-1.72%)","0.79","1.13","5,691","7.40","57.80","-2.11"
"2479","ジェイテック","東G","241","-4.0(-1.63%)","0.61","1.80","2,066","6.23","53.06","-3.68"
"2483","翻訳センター","東S","1869","-28.0(-1.48%)","0.58","1.10","6,297","5.91","75.76","-2.99"
"2666","オートウェーブ","東S","159","-11.0(-6.47%)","0.31","0.62","2,298","7.65","49.32","-4.68"
"2736","フェスタリアＨＬＤＧ","東S","1435","+1.0(+0.07%)","0.20","1.20","1,734","-1.39","20.39","-0.08"
"2754","東葛ＨＬＤＧ","東S","473","+0.0(+0.00%)","0.32","0.46","2,289","-1.56","67.29","-2.99"
"2788","アップルインターナショナル","東S","373","+0.0(+0.00%)","0.16","0.65","5,170","56.57","46.79","-1.53"
"2795","日本プリメックス","東S","805","-4.0(-0.49%)","0.69","0.62","4,446","5.03","74.80","-0.59"
"2876","デルソーレ","東S","715","-17.0(-2.32%)","0.39","1.05","6,510","9.28","55.13","-1.95"
"2961","日本調理機","東S","2910","+0.0(+0.00%)","0.19","0.51","3,305","14.06","46.64","-1.36"
"2976","日本グランデ","札A","800","-10.0(-1.23%)","0.24","0.55","1,075","-2.19","23.28","-0.94"
"2984","ヤマイチ・ユニハイムエステート","東S","962","-13.0(-1.33%)","0.38","0.63","6,911","-2.88","26.34","-1.80"
"2991","ランドネット","東S","1004","-2.0(-0.20%)","0.09","0.84","5,976","22.70","35.66","-0.38"
"2997","ストレージ王","東G","553","+8.0(+1.47%)","0.33","1.11","1,021","-0.13","50.45","-0.32"
"2999","ホームポジション","東S","318","-4.0(-1.24%)","0.10","0.46","1,905","7.63","27.53","-1.06"
"3011","バナーズ","東S","140","+1.0(+0.72%)","0.51","0.92","2,833","10.47","26.87","-0.85"
"3035","ケイティケイ","東S","575","-9.0(-1.54%)","0.18","0.81","3,292","2.40","45.85","-1.88"
"3071","ストリーム","東S","108","+0.0(+0.00%)","0.10","0.99","3,081","-0.34","46.63","-0.55"
"3083","シーズメン","東S","499","-17.0(-3.29%)","0.24","1.69","1,439","51.46","33.60","-2.96"
"3143","オーウイル","東S","1417","-3.0(-0.21%)","0.14","1.10","4,464","10.39","35.40","-0.28"
"3172","ティーライフ","東S","1398","+5.0(+0.36%)","0.44","0.96","5,959","5.65","72.00","-0.40"
"3173","Ｃｏｍｉｎｉｘ","東S","845","-1.0(-0.12%)","0.20","0.80","5,804","7.14","39.21","-0.26"
"3181","買取王国","東S","807","-24.0(-2.89%)","0.51","1.22","2,938","18.49","60.61","-3.88"
"3190","ホットマン","東S","590","-13.0(-2.16%)","0.20","0.59","4,293","4.36","43.99","-1.60"
"3236","プロパスト","東S","163","-2.0(-1.21%)","0.28","0.64","5,729","13.15","28.05","-1.21"
"3238","セントラル総合開発","東S","502","-3.0(-0.59%)","0.16","0.53","4,860","3.68","31.37","-0.87"
"3241","ウィル","東S","461","-4.0(-0.86%)","0.56","1.28","5,272","9.08","30.25","-1.24"
"3261","グランディーズ","東G","389","-10.0(-2.51%)","0.30","0.66","1,415","72.85","50.45","-2.60"
"3266","ファンドクリエーショングループ","東S","81","-1.0(-1.22%)","0.75","1.07","3,053","145.31","50.16","-1.22"
"3267","フィル・カンパニー","東S","787","-6.0(-0.76%)","0.71","1.55","4,547","36.20","50.01","-0.78"
"3293","アズマハウス","東S","766","-1.0(-0.13%)","0.44","0.38","6,177","1.82","52.28","-0.70"
"3297","東武住販","東S","1169","+1.0(+0.09%)","0.41","0.78","3,171","2.54","71.87","-0.19"
"3306","日本製麻","東S","645","+7.0(+1.10%)","0.63","1.44","2,369","18.48","40.61","-0.25"
"3317","フライングガーデン","東S","3075","+10.0(+0.33%)","0.61","1.72","4,456","11.48","65.05","-2.47"
"3322","アルファグループ","東S","667","-11.0(-1.62%)","0.28","0.73","4,644","2.65","55.65","-1.56"
