,順位,コード,名称,市場,時価総額,上場年月日,取引値,決算年月
0,1,130A,(株)Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,東証GRT,16843,2024-02-08,2673.0,2022/12
1,2,5871,ＳＯＬＩＺＥ(株),東証STD,22380,2024-02-07,3730.0,2022/12
2,3,5892,(株)ｙｕｔｏｒｉ,東証GRT,4432,2023-12-27,2831.0,2023/03
3,4,5870,(株)ナルネットコミュニケーションズ,東証GRT,4794,2023-12-25,899.0,2023/03
4,5,5621,(株)ヒューマンテクノロジーズ,東証GRT,12807,2023-12-22,1335.0,2023/03
5,6,5869,(株)早稲田学習研究会,東証STD,11661,2023-12-22,1142.0,2023/03
6,7,5619,マーソ(株),東証GRT,7532,2023-12-21,2120.0,2022/12
7,8,5618,ナイル(株),東証GRT,9884,2023-12-20,1158.0,2022/12
8,9,5868,(株)ロココ,東証STD,4006,2023-12-20,1082.0,2022/12
9,10,5867,(株)エスネットワークス,東証GRT,3959,2023-12-19,1299.0,2023/12
10,11,5616,(株)雨風太陽,東証GRT,3606,2023-12-18,1493.0,2022/12
11,12,5599,Ｓ＆Ｊ(株),東証GRT,6426,2023-12-15,1142.0,2023/03
12,13,5891,(株)魁力屋,東証STD,13846,2023-12-15,2522.0,2022/12
13,14,5596,アウトルックコンサルティング(株),東証GRT,4384,2023-12-12,1228.0,2023/03
14,15,5597,ブルーイノベーション(株),東証GRT,5645,2023-12-12,1433.0,2022/12
15,16,5595,(株)ＱＰＳ研究所,東証GRT,104580,2023-12-06,2878.0,2023/05
16,17,4197,(株)アスマーク,東証STD,2825,2023-12-04,2604.0,2023/11
17,18,9238,バリュークリエーション(株),東証GRT,2364,2023-11-22,2055.0,2023/02
18,19,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ(株),東証STD,34240,2023-11-16,1430.0,2023/01
19,20,5888,ＤＡＩＷＡ　ＣＹＣＬＥ(株),東証GRT,5910,2023-11-08,2169.0,2023/01
20,21,4811,(株)ドリーム・アーツ,東証GRT,14678,2023-10-27,3620.0,2022/12
21,22,9237,(株)笑美面,東証GRT,4973,2023-10-26,2481.0,2023/10
22,23,5845,全保連(株),東証STD,25643,2023-10-25,1115.0,2023/03
23,24,6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,東証PRM,1062354,2023-10-25,4580.0,2023/03
24,25,9236,ジャパンＭ＆Ａソリューション(株),東証GRT,6049,2023-10-24,4100.0,2023/10
25,26,9235,(株)売れるネット広告社,東証GRT,13817,2023-10-23,4005.0,2023/07
26,27,4896,(株)ケイファーマ,東証GRT,7392,2023-10-17,637.0,2022/12
27,28,9170,成友興業(株),名証MN,3825,2023-10-13,2970.0,2023/09
28,29,5592,(株)くすりの窓口,東証GRT,17480,2023-10-04,1592.0,2023/03
29,30,9331,(株)キャスター,東証GRT,2486,2023-10-04,1268.0,2023/08
30,31,5843,ニッポンインシュア(株),東証STD,2610,2023-10-03,934.0,2023/09
31,32,6223,(株)西部技研,東証STD,31140,2023-10-03,1519.0,2022/12
32,33,5535,ミガロホールディングス(株),東証PRM,10227,2023-10-02,1398.0,---
33,34,5844,(株)京都フィナンシャルグループ,東証PRM,723975,2023-10-02,2386.5,---
34,35,6209,リケンＮＰＲ(株),東証PRM,79527,2023-10-02,2826.0,---
35,36,9332,ＮＩＳＳＯホールディングス(株),東証PRM,27730,2023-10-02,815.0,---
36,37,2938,(株)オカムラ食品工業,東証STD,27409,2023-09-27,3405.0,2023/06
37,38,5591,(株)ＡＶＩＬＥＮ,東証GRT,13104,2023-09-27,2166.0,2022/12
38,39,5589,(株)オートサーバー,東証STD,13163,2023-09-26,1871.0,2022/12
39,40,5590,(株)ネットスターズ,東証GRT,14409,2023-09-26,864.0,2022/12
40,41,6228,(株)ジェイ・イー・ティ,東証STD,51231,2023-09-25,11410.0,2023/12
41,42,3958,笹徳印刷(株),東証STD,3779,2023-09-22,611.0,2023/06
42,43,5588,ファーストアカウンティング(株),東証GRT,9579,2023-09-22,1816.0,2022/12
43,44,9330,(株)揚羽,東証GRT,1366,2023-09-21,963.0,2023/09
44,45,5842,インテグラル(株),東証GRT,104925,2023-09-20,3000.0,2022/12
45,46,9168,(株)ライズ・コンサルティング・グループ,東証GRT,25988,2023-09-12,1064.0,2023/02
46,47,5587,(株)インバウンドプラットフォーム,東証GRT,5933,2023-08-30,1722.0,2023/09
47,48,6224,(株)ＪＲＣ,東証GRT,9974,2023-08-09,787.0,2023/02
48,49,5586,(株)Ｌａｂｏｒｏ．ＡＩ,東証GRT,12559,2023-07-31,793.0,2023/09
49,50,9165,(株)クオルテック,東証GRT,3415,2023-07-28,1453.0,2023/06
50,51,9166,(株)ＧＥＮＤＡ,東証GRT,115065,2023-07-28,3355.0,2023/01
51,52,2962,(株)テクニスコ,東証STD,5887,2023-07-26,643.0,2023/06
52,53,5585,エコナビスタ(株),東証GRT,18141,2023-07-26,2831.0,2023/10
53,54,9164,(株)トライト,東証GRT,60800,2023-07-24,608.0,2022/12
54,55,9163,(株)ナレルグループ,東証GRT,30178,2023-07-21,3580.0,2023/10
55,56,5582,(株)グリッド,東証GRT,16442,2023-07-07,3510.0,2023/06
56,57,9162,(株)ブリーチ,東証GRT,13147,2023-07-05,516.0,2023/06
57,58,7409,ＡｅｒｏＥｄｇｅ(株),東証GRT,11061,2023-07-04,2894.0,2023/06
58,59,9161,ＩＤ＆Ｅホールディングス(株),東証PRM,54814,2023-07-03,3635.0,---
59,60,5884,(株)クラダシ,東証GRT,3735,2023-06-30,347.0,2023/06
60,61,5885,(株)ジーデップ・アドバンス,東証STD,10656,2023-06-30,8030.0,2023/05
61,62,9160,(株)ノバレーゼ,東証STD,7500,2023-06-30,300.0,2022/12
62,63,9159,(株)Ｗ　ＴＯＫＹＯ,東証GRT,8350,2023-06-29,3095.0,2023/06
63,64,4893,ノイルイミューン・バイオテック(株),東証GRT,8266,2023-06-28,191.0,2022/12
64,65,5580,(株)プロディライト,東証GRT,1806,2023-06-28,1106.0,2023/08
65,66,4894,クオリプス(株),東証GRT,20180,2023-06-27,2555.0,2023/03
66,67,5533,(株)エリッツホールディングス,東証STD,6372,2023-06-27,1900.0,2023/09
67,68,5579,(株)ＧＳＩ,札証,2490,2023-06-27,1245.0,2023/03
68,69,7075,(株)ＱＬＳホールディングス,名証NXT,2020,2023-06-26,912.0,2023/03
