"コード","銘柄名","市場","現在値","前日比(%)","株価移動平均線乖離率(%)","出来高平均6日/25日倍率(倍)"
"1345","上場Ｊリート隔月分配型","東ETF","1787.5","-0.5(-0.03%)","-2.23","0.28"
"1443","技研ＨＬＤＧ","東S","216","+1.0(+0.47%)","-1.50","0.36"
"1444","ニッソウ","東G","2583","+4.0(+0.16%)","-4.80","0.32"
"1447","ＩＴｂｏｏｋ　ＨＬＤＧ","東G","326","+9.0(+2.84%)","-2.21","0.34"
"1450","田中建設工業","東S","2186","-59.0(-2.63%)","-0.42","0.49"
"1466","ｉＦＪＰＸ４００ダブルインバ","東ETF","822.0","-35.0(-4.08%)","-6.54","0.46"
"1483","ｉＳ　ＪＰＸ／Ｓ＆Ｐ設備・人材","東ETF","2590.0","+1.0(+0.04%)","-0.37","0.29"
"1487","上場米国債券（為替ヘッジあり）","東ETF","13470.0","-35.0(-0.26%)","-1.11","0.35"
"1492","ＭＡＸＩＳ　ＪＰＸ日経中小型","東ETF","18235.0","-160.0(-0.87%)","-0.15","0.42"
"1499","ＭＸＳ日本株高配当７０ＭＮ","東ETF","9468.0","-53.0(-0.56%)","-0.13","0.40"
"1688","ＷＴ　穀物","東ETF","584.0","+0.2(+0.03%)","-0.97","0.44"
"1712","ダイセキ環境ソリューション","東S","1040","+6.0(+0.58%)","-3.50","0.40"
"1734","北弘電社","札","550","+10.0(+1.85%)","-10.55","0.42"
"1758","太洋基礎工業","東S","2004","+12.0(+0.60%)","-1.05","0.22"
"2097","グローバルＸ　レジデンシャル","東ETF","979.0","+1.0(+0.10%)","-1.78","0.41"
"2098","グローバルＸ　ホテル＆リテール","東ETF","1008.0","+4.0(+0.40%)","-1.37","0.09"
"2122","インタースペース","東S","950","+13.0(+1.39%)","-0.51","0.42"
"2134","燦キャピタルマネージメント","東S","17","-1.0(-5.56%)","-3.19","0.50"
"2163","アルトナー","東P","2189","+16.0(+0.74%)","-2.64","0.47"
"2185","シイエム・シイ","東S","1214","-5.0(-0.41%)","-1.09","0.46"
"2240","上場　Ｓ＆Ｐ５００　先物インバ","東ETF","7938.0","-29.0(-0.36%)","-2.94","0.26"
"2259","ｉＳ　フランス国債　７−１０有","東ETF","204.1","+0.2(+0.10%)","-0.85","0.12"
"2303","ドーン","東S","1976","-5.0(-0.25%)","-3.38","0.49"
"2309","シミックＨＬＤＧ","東P","2640","+0.0(+0.00%)","-0.06","0.24"
"2329","東北新社","東S","1380","-68.0(-4.70%)","-2.28","0.39"
"2338","クオンタムソリューションズ","東S","1279","+39.0(+3.15%)","-9.59","0.35"
"2345","クシム","東S","222","-7.0(-3.06%)","-7.27","0.25"
"2375","ギグワークス","東S","555","-7.0(-1.25%)","-14.48","0.41"
"2376","サイネックス","東S","828","-9.0(-1.08%)","-2.81","0.41"
"2411","ゲンダイエージェンシー","東S","366","+0.0(+0.00%)","-2.04","0.28"
"2424","ブラス","東S","689","-15.0(-2.13%)","-3.99","0.20"
"2437","Ｓｈｉｎｗａ　Ｗｉｓｅ　ＨＬＤ","東S","506","+12.0(+2.43%)","-4.08","0.21"
"2449","プラップジャパン","東S","1017","+9.0(+0.89%)","-0.99","0.41"
"2459","アウンコンサルティング","東S","216","+11.0(+5.37%)","-6.77","0.08"
"2468","フュートレック","東S","247","+6.0(+2.49%)","-6.43","0.09"
"2483","翻訳センター","東S","1869","-28.0(-1.48%)","-1.77","0.29"
"2512","ＮＦ外国債券ヘッジあり","東ETF","795.3","-1.0(-0.13%)","-0.83","0.49"
"2527","ＮＺＡＭ東証ＲＥＩＴ　Ｃｏｒｅ","東ETF","1059.5","-1.5(-0.14%)","-2.55","0.12"
"2565","ＧＸロジＪリート","東ETF","890.0","-5.0(-0.56%)","-3.02","0.47"
"2586","フルッタフルッタ","東G","38","+1.0(+2.70%)","-1.55","0.40"
"2590","ダイドーグループＨＬＤＧ","東P","2938","+44.0(+1.52%)","-0.59","0.33"
"2623","ｉＳユーロ建て投資社債 ヘッジ","東ETF","2111.0","+1.0(+0.05%)","-0.46","0.15"
"2656","ベクターＨＬＤＧ","東S","121","+2.0(+1.68%)","-13.22","0.50"
"2673","夢みつけ隊","東S","107","+0.0(+0.00%)","-3.46","0.24"
"2743","ピクセルカンパニーズ","東S","40","+0.0(+0.00%)","-4.12","0.44"
"2855","ＧＸ　グリーン・ＪＲＥＩＴ","東ETF","909.0","-2.0(-0.22%)","-2.75","0.35"
"2861","上場インファンドフランス国債無","東ETF","5308.0","+11.0(+0.21%)","-0.55","0.08"
"2934","ジェイフロンティア","東G","3650","+45.0(+1.25%)","-6.12","0.43"
"2936","ベースフード","東G","408","-1.0(-0.24%)","-4.53","0.41"
"2962","テクニスコ","東S","643","+15.0(+2.39%)","-4.21","0.33"
"2999","ホームポジション","東S","318","-4.0(-1.24%)","-3.85","0.31"
"3071","ストリーム","東S","108","+0.0(+0.00%)","-4.49","0.41"
"3075","銚子丸","東S","1628","-23.0(-1.39%)","-2.42","0.48"
"3111","オーミケンシ","東S","316","+6.0(+1.94%)","-4.28","0.29"
"3172","ティーライフ","東S","1398","+5.0(+0.36%)","-1.96","0.32"
"3266","ファンドクリエーショングループ","東S","81","-1.0(-1.22%)","-2.97","0.22"
"3275","ハウスコム","東S","911","+2.0(+0.22%)","-0.43","0.46"
"3353","メディカル一光グループ","東S","2203","+0.0(+0.00%)","-2.21","0.24"
"3377","バイク王＆カンパニー","東S","576","+1.0(+0.17%)","-4.71","0.44"
"3386","コスモ・バイオ","東S","981","-6.0(-0.61%)","-1.47","0.37"
